Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 1.25
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
absurd  	absure  	 0.83	 0.83	 0.33	 0.83	 0.75	 0.75	 0.79	 0.71	
absurd  	abukrd  	 0.67	 0.83	 0.83	 0.67	 0.84	 0.58	 0.52	 0.79	
absurd  	abxcrd  	 0.67	 0.33	 0.33	 0.67	 0.75	 0.25	 0.31	 0.62	
absurd  	absmurd 	 0.50	 0.67	 0.67	 1.00	 0.90	 0.75	 0.85	 0.96	
absurd  	abstzurd	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
absurd  	anegtd  	 0.33	 0.33	 0.33	 0.33	 0.50	 0.00	 0.00	 0.21	
absurd  	zabsurd 	 0.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 0.61	
absurd  	absurdq 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
absurd  	abszzurd	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
adjust  	adjust  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
adjust  	dajust  	 0.67	 0.33	 0.83	 0.67	 0.81	 0.83	 0.83	 0.66	
adjust  	adjsut  	 0.67	 1.00	 1.00	 0.67	 0.93	 0.83	 0.80	 0.96	
adjust  	adjuts  	 0.67	 0.67	 0.67	 0.67	 0.81	 0.83	 0.83	 0.94	
adjust  	aujdst  	 0.67	 0.50	 0.50	 0.67	 0.82	 0.67	 0.44	 0.81	
adjust  	asjudt  	 0.67	 0.67	 0.67	 0.67	 0.76	 0.42	 0.32	 0.78	
adjust  	adust   	 0.33	 0.50	 0.67	 0.67	 0.81	 0.58	 0.64	 0.72	
adjust  	adjus   	 0.83	 0.83	 0.33	 0.50	 0.75	 0.75	 0.79	 0.71	
adjust  	adst    	 0.33	 0.33	 0.50	 0.67	 0.57	 0.25	 0.33	 0.57	
adjust  	daujts  	 0.00	 0.33	 0.33	 0.00	 0.48	 0.67	 0.44	 0.59	
adjust  	ustadj  	 0.00	 0.00	 0.00	 0.00	 0.38	 0.50	 0.73	 0.33	
adjust  	ust     	 0.00	 0.00	 0.33	 0.17	 0.50	 0.25	 0.36	 0.17	
adjust  	jdatsu  	 0.33	 0.33	 0.33	 0.33	 0.39	 0.25	 0.18	 0.38	
adjust  	uasdtj  	 0.00	 0.00	 0.00	 0.00	 0.31	 0.33	 0.38	 0.46	
adjust  	atsujd  	 0.33	 0.33	 0.33	 0.33	 0.45	 0.08	 0.17	 0.70	
adjust  	cdjust  	 0.83	 0.00	 0.33	 0.83	 0.75	 0.75	 0.79	 0.30	
adjust  	adcust  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.58	 0.58	 0.78	
adjust  	adjusl  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
adjust  	adubst  	 0.67	 0.83	 0.83	 0.67	 0.84	 0.58	 0.52	 0.79	
adjust  	adzfst  	 0.67	 0.33	 0.33	 0.67	 0.75	 0.25	 0.31	 0.62	
adjust  	adjxust 	 0.50	 0.67	 0.67	 1.00	 0.90	 0.75	 0.85	 0.96	
adjust  	adjzbust	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
adjust  	awbxpt  	 0.33	 0.33	 0.33	 0.33	 0.50	 0.00	 0.00	 0.21	
adjust  	eadjust 	 0.00	 0.83	 0.83	 0.50	 0.88	 1.00	 1.00	 0.61	
adjust  	adjuste 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
adjust  	adjqqust	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
admire  	admire  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
admire  	damire  	 0.67	 0.50	 0.83	 0.67	 0.81	 0.83	 0.83	 0.66	
admire  	admrie  	 0.67	 1.00	 1.00	 0.67	 0.93	 0.83	 0.80	 0.96	
admire  	admier  	 0.67	 1.00	 1.00	 0.67	 0.81	 0.83	 0.83	 0.94	
admire  	aimdre  	 0.67	 0.33	 0.33	 0.67	 0.82	 0.67	 0.44	 0.81	
admire  	armide  	 0.67	 0.67	 0.67	 0.67	 0.76	 0.42	 0.32	 0.78	
admire  	adire   	 0.33	 0.67	 0.67	 0.67	 0.81	 0.58	 0.64	 0.72	
admire  	admir   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
admire  	adre    	 0.33	 0.33	 0.33	 0.67	 0.57	 0.25	 0.33	 0.57	
admire  	daimer  	 0.00	 0.17	 0.50	 0.00	 0.48	 0.67	 0.44	 0.59	
admire  	ireadm  	 0.00	 0.33	 0.00	 0.00	 0.38	 0.50	 0.73	 0.33	
admire  	adm     	 0.50	 0.50	 0.17	 0.33	 0.50	 0.25	 0.36	 0.41	
admire  	mdaeri  	 0.33	 0.17	 0.17	 0.33	 0.39	 0.25	 0.18	 0.38	
admire  	iardem  	 0.00	 0.00	 0.00	 0.00	 0.31	 0.33	 0.38	 0.46	
admire  	aerimd  	 0.33	 0.17	 0.33	 0.33	 0.45	 0.08	 0.17	 0.70	
admire  	kdmire  	 0.83	 0.00	 0.00	 0.83	 0.75	 0.75	 0.79	 0.30	
admire  	advire  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.58	 0.58	 0.78	
admire  	admirp  	 0.83	 0.83	 0.33	 0.83	 0.75	 0.75	 0.79	 0.71	
admire  	adinre  	 0.67	 0.83	 0.83	 0.67	 0.84	 0.58	 0.52	 0.79	
admire  	adhzre  	 0.67	 0.33	 0.33	 0.67	 0.75	 0.25	 0.31	 0.62	
admire  	admpire 	 0.50	 0.83	 0.67	 1.00	 0.90	 0.75	 0.85	 0.96	
